name	is_comedogenic	common_names
1-Acetoxyhexadecane	yes	
1-Hexadecanol Acetate	yes	
Acetylated Lanolin Alcohol	yes	
Acetylated Wool Fat	yes	
Acetylated Wool Wax	yes	
Agar	yes	
Ahnfeltia Concinna	yes	
Ahnfeltiopsis Concinna Extract	yes	
Alaria Esculenta	yes	
Alaria Esculenta Extract	yes	
Algae	yes	
Algae Bladderwrack	yes	
Algae Extract	yes	
Algea	yes	
Algin	yes	
Alginate	yes	
Alginic Acid	yes	
Almond Oil	yes	
Andiroba Seed Oil	yes	
Aphanothece Sacrum Polysaccharide	yes	
Apricot Kernel Oil	yes	
Apricot Oil	yes	
Arthrospira Platensis	yes	
Ascophyllum	yes	
Ascophyllum Nodosum	yes	
Ascophyllum Nodosum Extract	yes	
Asparagopsis Armata Extract	yes	
Astrocaryum Murumuru Seed Butter	yes	
Avocado Butter	yes	
Avokado Oil	yes	
Babassu Oil	yes	
Beef Tallow	yes	
Bismuth	yes	
Bismuth Oxychloride	yes	
Black Kelp	yes	
Bladderwrack	yes	
Blue Algae	yes	
Blue Green Algae	yes	
Borage Oil	yes	
Brazil Nut Oil	yes	
Brown Algae	yes	
Bryopsis Africana	yes	
Buriti Oil	yes	
Butyl Stearate	yes	
Butyl Stearic Acid	yes	
Butyrospermum	yes	
Butyrospermum Parkii	yes	
Cacao Butter	yes	
Cacao Seed Butter	yes	
Canola Oil	yes	
Capea Biruncinata var. Desnuda Sonder	yes	
Carageenan	yes	
Caragenan	yes	
Carastay C	yes	
Carrageenan	yes	
Carrageenan Gum	yes	
Carrageenan Moss	yes	
Carragenan	yes	
Carrot Seed Oil	yes	
Caulerpa Filiformis	yes	
Caulerpa Lentillifera Extract	yes	
CeraVe Oil	yes	
Cetyl Acetate	yes	
Chaetomorpha Linum	yes	
Cherry Seed Oil	yes	
Chlamydomonas Reinhardtii Extract	yes	
Chlorella	yes	
Chlorella Vulgaris Extract	yes	
Chlorophyceae	yes	
Chondrus Crispus	yes	
Chondrus Crispus Powder	yes	
Chullu Seed Oil	yes	
Cladophora cf. Subsimplex	yes	
Cladophora Radiosa	yes	
Cladosiphon Okamuranus Extract	yes	
Coal Tar	yes	
Cocoa Seed Butter	yes	
Coconut	yes	
Coconut Alkanes	yes	
Coconut Butter	yes	
Coconut Extract	yes	
Coconut Fruit Extract	yes	
Coconut Nucifera Extract	yes	
Cocos	yes	
Cocos Nucifera	yes	
Cocos Nucifera Seed Butter	yes	
Codium Fragile Extract	yes	
Coenochloris Signiensis Extract	yes	
Colloidal Sulfur	yes	
Corallina Officinalis Extract	yes	
Corn Oil	yes	
Cotton Awws	yes	
Cotton Awws Oil	yes	
Cotton Oil	yes	
Cotton Seed Oil	yes	
Cranberry Seed Oil	yes	
Creosote	yes	
Cystoseira Tamariscifolia Extract	yes	
D&C Red 17	yes	
D&C Red 21	yes	
D&C Red 3	yes	
D&C Red 30	yes	
D&C Red 36	yes	
Decyl Oleate	yes	
Dictyopteris Membranacea	yes	
Dictyopteris Polypodioides	yes	
Dilsea Carnosa Extract	yes	
Dioctyl Succinate	yes	
Disodium Laureth Sulfosuccinate	yes	
Disodium Monooleamido	yes	
Disodium Monooleamido PEG-2 Sulfosuccinate	yes	
Disodium Oleamido PEG-2 Sulfosuccinate	yes	
Dodecanoic Acid	yes	
Dodecoic Acid	yes	
Dodecyl Acid	yes	
Dulse	yes	
Dunaliella Salina Extract	yes	
Duodecylic Acid	yes	
Durvillaea Antarctica Extract	yes	
Ecklonia	yes	
Ecklonia Cava	yes	
Ecklonia Cava Extract	yes	
Ecklonia Radiata	yes	
Enteromorpha Compressa	yes	
Enteromorpha Compressa Extract	yes	
Ethoxylated Lanolin	yes	
